,content,id,lat,location,lon,time,user,user_id
0,RT @ChristopherNFox: Spanish bank BBVA announces €100 billion plan to fight #climate change and promote sustainable development https://t.c…,971435860884307968,,,,2018-03-07 17:22:12,DScheberle,399078385
1,Federal common law controls California climate actions. Is this really a victory for the oil companies? https://t.co/31d3Olicp1 #EnvLaw,971435342875299840,,"Boston, MA",,2018-03-07 17:20:08,FoleyHoag,15689467
2,"With determined leadership, and assists from @EnvDefenseFund Climate Corps, 300+ of @IKEA suppliers in China have s… https://t.co/5N3Xu8Iaop",971430725747728386,,"Boston, MA",,2018-03-07 17:01:47,SarahFRobinson,21691233
3,"RT @mckennapr: Winter storms and record high tides offer New England ""a very stark picture of what climate change looks like"" https://t.co/…",971428679107702785,,"Florida, US",,2018-03-07 16:53:40,LindaCollins11,344687656
4,"Amid a changing climate, populations of deer ticks have been able to establish a permanent beachhead in Canada. The… https://t.co/GQi46h4oxf",971427761721102343,,"Cambridge, MA",,2018-03-07 16:50:01,undarkmag,3883416257
5,UN rights chief denounces 'climate of intimidation' in Egypt https://t.co/deq87FTnvX,971427263886409728,,"Boston, MA",,2018-03-07 16:48:02,JewishBro,50533042
6,RT @TommyVitolo: I'm giving a joint @Harvard_Law @Kennedy_School @HarvardHBS lecture tonight in Prof Wendy Jacobs' #Climate Solutions cours…,971425417302290433,,"Cambridge, MA",,2018-03-07 16:40:42,GreenHarvard,55612830
7,Why #Cities Are on the Front Lines of the Climate Change Fight: https://t.co/5LSd6UroTv via @NextCityOrg… https://t.co/MeaCmKLmWz,971423416078266368,,"Boston, MA",,2018-03-07 16:32:45,opendatasoft,366088660
8,Rising temperatures and overfishing in the pristine waters around the Antarctic could see king penguin populations… https://t.co/jUMFf39BBj,971422854528028672,,"Boston, MA",,2018-03-07 16:30:31,sustainableBU,85819628
9,"We're already in climate change, folks.  https://t.co/1jMA29BhlN",971422514550276096,,"Somerville, MA",,2018-03-07 16:29:10,aliothsan,107913797
11,Exciting to see the delegates of @BPSQuincyElem starting their 3rd year of a Model UN unit on climate change! Thank… https://t.co/UTZkvqqhBb,971417178846257152,,"Boston, MA",,2018-03-07 16:07:58,UNAGB,49653264
12,"""Disaster, Pestilence, War, and Famine are riding as horsemen of a particular apocalypse..."" why we need #data to a… https://t.co/Ws63xxxnG9",971416311782871043,,"Cambridge, MA",,2018-03-07 16:04:31,SphereAnalytics,963891741882507270
13,"""Disaster, Pestilence, War, and Famine are riding as horsemen of a particular apocalypse..."" why we need #data to a… https://t.co/yx4Z6y4hZe",971415839772725248,,"Cambridge, MA",,2018-03-07 16:02:38,nofakedata,929741086909784066
14,RT @MIT_Spectrum: @MITdusp's @d_hsu_work helps cities figure out what's working in the battle against climate change. His analysis of NYC's…,971415628878876672,,"Cambridge, MA",,2018-03-07 16:01:48,MITdusp,200293513
15,"As of 3/1, a new satellite launched by @NOAA could play a major role in preventing natural disasters such as forest… https://t.co/jfcwwclbih",971415504140238849,,"Boston, MA",,2018-03-07 16:01:18,EngageLab,162118003
17,"This is so dangerous 

1. Blatant disregard for available info about climate change
2. Appoint officials with no sc… https://t.co/897fdkyP6G",971412552390332418,,"Boston, MA",,2018-03-07 15:49:35,CooperTatomCave,372624857
18,@MITdusp's @d_hsu_work helps cities figure out what's working in the battle against climate change. His analysis of… https://t.co/AmNzrfSCH9,971412385754963968,,"Cambridge, MA",,2018-03-07 15:48:55,MIT_Spectrum,163559811
19,RT @evankirstel: UN Forms #BlockChain Coalition to Fight Climate Change https://t.co/WW30ah802F #Crypto #CryptoCurrencies #Cryptorevolution…,971410541007790080,,"Wien, Österreich",,2018-03-07 15:41:35,ZirkusElune,1455440760
20,I HAVE FORGOTTEN HOW TO READ https://t.co/C8zU0iKFhh — How the New Media Climate Is Destroying Our Ability to Read… https://t.co/ia30iVfnyH,971410220273594374,,"Boston, MA",,2018-03-07 15:40:19,GaryGenard,286178174
21,UN Forms #BlockChain Coalition to Fight Climate Change https://t.co/WW30ah802F #Crypto #CryptoCurrencies… https://t.co/1lBjf4rtFb,971410145350770689,,"Boston, MA",,2018-03-07 15:40:01,evankirstel,35203319
