,content,id,lat,location,lon,time,user,user_id
0,When Arie broke off his engagement to Becca K to be with Lauren B and she takes him back?? #bachelorabc https://t.co/IaDRO0dDxE,971428789174620160,,"Boston, MA",,2018-03-07 16:54:06,cbeeebs,584736792
1,"current weather in Boston: snow, 36°F
74% humidity, wind 17mph, pressure 1011mb",971428787895255040,-71.06,"Boston, MA",42.36,2018-03-07 16:54:05,_BostonMA,108076943
2,@RaisinaSeries All this while Kejriwal was trying to stay relevant in Indian politics 😂😂😂,971428787782144001,,"Boston, MA",,2018-03-07 16:54:05,_HazirJawab,3002619971
4,"RT @larrykim: #WednesdayWisdom  If you ever need to speak up / share your ideas during a meeting, remember this. 😅🦈 https://t.co/YnZFEAKzfN",971428785638686720,,US,,2018-03-07 16:54:05,branddscom,885269587926818816
6,New Food Preservation Technology Means No Need to Refrigerate https://t.co/Tv8uHGQcgU https://t.co/Uj0TPeVzHH,971428784275570688,,"Boston, MA",,2018-03-07 16:54:05,brucewyatt01,871957639877603328
7,"RT @districtenergy: Recognized #campusenergy leaders discuss emergency preparedness, designing for #resiliency &amp; #sustainability, master pl…",971428784262950913,,"Parker, Colorado",,2018-03-07 16:54:05,josh6294,386093165
8,Digital archive showcases work from the Center for Advanced Visual Studies https://t.co/nBm48Clajs,971428783071916032,,"Cambridge, MA",,2018-03-07 16:54:04,mit_cmsw,24911636
9,"RT @BiologistDan: 3 months ago @realDonaldTrump promised to end the ""horror show"" of importing #Elephant trophies. Then he delayed, and del…",971428782983725056,,Beautiful BC,,2018-03-07 16:54:04,SierraSteele88,2755272040
10,@melikesamerica @FoxNews @JerryBrownGov Yeah. This is what I been saying,971428782153371648,,"Boston, MA",,2018-03-07 16:54:04,MichaelSaritel1,890275466019557376
11,@julay20_90 @3s_87 نفس السبب ونفس الرسائل. ممممممممممللللللللللللة الحياة كذا. الحب الذي لا يضيف على حياتك ولا يغير… https://t.co/oxPqi56o0J,971428781784207360,,"Boston, MA",,2018-03-07 16:54:04,Dr_Theeb,256106691
12,"RT @HarvardBiz: Create a Growth Culture, Not a Performance-Obsessed One https://t.co/VznBdNA1Yr",971428781347962880,,"Suffolk County, MA",,2018-03-07 16:54:04,Dinostratus,2536886377
13,That right there is the key! #MoneyTalks https://t.co/GfIbYv4BnX,971428780739788801,,"Boston, MA",,2018-03-07 16:54:04,pioli121,4341813436
14,👌🏾👌🏾👌🏾💯💯💯💯 https://t.co/DHHtnjYdCs,971428779766767622,,"Boston, MA",,2018-03-07 16:54:04,GETM0NEII,180332118
17,"Deval, I love you but what does this even mean? https://t.co/MwZfTk0PRs",971428776092602368,,"Watertown, MA",,2018-03-07 16:54:03,WatertownDem,88722764
18,"خذ عشر دقائق من وقتك واغمض عينيك واستمع بقلبك 
لعل الله يرحمنا https://t.co/RSJZa6ipkI",971428773991256064,,"Boston, MA",,2018-03-07 16:54:02,demha5,30389790
19,RT @RedSox: 👇👇 days 'til #OpeningDay https://t.co/pu83mFxNj6,971428773315993600,,MA,,2018-03-07 16:54:02,dntheob,2885779692
20,Goodman Financial Corp Decreased Its Position in Skyworks Solutions INC Com (SWKS) as Shares Ro...,971428773236301827,,"Boston, MA",,2018-03-07 16:54:02,wosaikeneriki,114274155
21,RT @MaxAbrahms: Kurdish-dominated Syrian Democratic Forces say they’re withdrawing from the front lines of the war against the Islamic Stat…,971428772565135360,,,,2018-03-07 16:54:02,EDDYDON9,825386050243682311
22,"RT @bobjinx: Here's some drawings of Bane. Less clay-like and lumpy, but still...equally compelling cartooning going on here. The balance o…",971428770975567873,,Tejas,,2018-03-07 16:54:01,Vinterstellar,328295517
23,RT @bilvox: A little #WednesdayWisdom for #Entrepreneurs and #startups When building your #brand 1.stay true to your original business conc…,971428770241499141,,London,,2018-03-07 16:54:01,chorus_app,960828750991634432
24,Check out the March sales at #CLF member @Shopboomerangs in #CentralSQ! #CambMA #ShopLocal https://t.co/UcJCEnImt4,971428766152118274,,"Cambridge, MA",,2018-03-07 16:54:00,CambridgeLF,176586988
25,RT @Ned1291: Happy birthday @coldkohi,971428766064013312,,"Florida, US",,2018-03-07 16:54:00,coldkohi,3316220016
27,@BurtonsGrillCT Something tells us that you'll get the vote from diners with a #foodallergy after today's release!… https://t.co/555h4DG7bO,971428761827717120,,US,,2018-03-07 16:53:59,AllergyEats,39267744
29,You may be fascinated by someone new who catches your eye toda... More for Libra https://t.co/PiHtto6Xi6,971428759839506432,,"Boston, MA",,2018-03-07 16:53:59,___KeepitG,75144137
30,"RT @hellofeliciabg: another successful donation!
did you know that you can directly help patients at DFCI &amp; BWH by donating blood or platel…",971428759797673987,,"Boston, MA",,2018-03-07 16:53:59,KraftBloodDonor,938508807994519552
31,RT @biiiboue: Croustiquoi ? Twitter suspendez moi https://t.co/4UMDlxEw7c,971428758962962436,,France,,2018-03-07 16:53:59,laaaura_h4,2651971338
33,Escaping to shelter before the storm #fromwhereibike #noreaster https://t.co/ESCysIHffB,971428755985100800,,"Boston, MA",,2018-03-07 16:53:58,BethanyJenkins,412709256
